"Route","PagePath","Template","PageDesign","Nav","Workflow","PrimaryRenderings","Notes"
"/industries/insurance","/sitecore/content/capco/capco/Home/industries/insurance","App Route","Default","hidden","Approved","IndustryLanding; InsightsCarousel Home; Subscribe","Tree depth only"
"/industries/wealth-and-asset-management","/sitecore/content/capco/capco/Home/industries/wealth-and-asset-management","App Route","Default","hidden","Approved","IndustryLanding","Tree depth only"
"/perspectives","/sitecore/content/capco/capco/Home/perspectives","App Route","Default","primary","Approved (index)","ArticleListing; InsightsCarousel Perspectives; Subscribe","Faceted listing. Subscribe lives here not Home."
"/perspectives/europes-t-plus-1-market-must-prove-readiness","/sitecore/content/capco/capco/Home/perspectives/europes-t-plus-1-market-must-prove-readiness","ArticlePage","Default","primary","Approved","ArticleDetails; InsightsCarousel Capital Markets; Subscribe","Priya conversion → Elisabeth"
"/perspectives/agentic-ai-in-energy-trading","/sitecore/content/capco/capco/Home/perspectives/agentic-ai-in-energy-trading","ArticlePage","Default","primary","Approved","ArticleDetails; InsightsCarousel Energy; Subscribe","Emma full article + whitepaper DAM PDF + TaxonomyBubbles orbit"
"/perspectives/canada-payment-fraud","/sitecore/content/capco/capco/Home/perspectives/canada-payment-fraud","ArticlePage","Default","primary","Draft","ArticleDetails; InsightsCarousel Banking; Subscribe","Act 2 — Michael / Charlotte. Workflow queue."
"/perspectives/energy-sovereignty-cyber-resilience","/sitecore/content/capco/capco/Home/perspectives/energy-sovereignty-cyber-resilience","ArticlePage","Default","primary","Approved","ArticleDetails; InsightsCarousel Energy; Subscribe","Elisabeth related Energy"
"/perspectives/from-predictable-to-weather-driven","/sitecore/content/capco/capco/Home/perspectives/from-predictable-to-weather-driven","ArticlePage","Default","primary","Approved","ArticleDetails; InsightsCarousel Energy; Subscribe","Elisabeth related Energy"
"/perspectives/ai-assistants-as-the-front-door-to-fs","/sitecore/content/capco/capco/Home/perspectives/ai-assistants-as-the-front-door-to-fs","ArticlePage","Default","primary","Approved","ArticleDetails; InsightsCarousel Banking; Subscribe","Charlotte related Payments"
"/perspectives/reimagining-business-banking-onboarding","/sitecore/content/capco/capco/Home/perspectives/reimagining-business-banking-onboarding","ArticlePage","Default","primary","Approved","ArticleDetails; InsightsCarousel Banking; Subscribe","Charlotte related Payments"
"/perspectives/future-of-analytics","/sitecore/content/capco/capco/Home/perspectives/future-of-analytics","ArticlePage","Default","hidden","Editorial Review","ArticleDetails; InsightsCarousel Perspectives","Emma inbox demo"
"/perspectives/regulatory-heatmap","/sitecore/content/capco/capco/Home/perspectives/regulatory-heatmap","ArticlePage","Default","hidden","Approved (en); Editorial Review (de-DE)","ArticleDetails; InsightsCarousel Perspectives","Translation target"
"/perspectives/regulatory-horizon","/sitecore/content/capco/capco/Home/perspectives/regulatory-horizon","ArticlePage","Default","hidden","Principal Approval","ArticleDetails; InsightsCarousel Perspectives","Waiting for sign-off"
"/people","/sitecore/content/capco/capco/Home/people","App Route","Default","primary","Approved","PeopleSearch","Catalog fallback people-catalog.ts. Only four names."
"/people/elisabeth-plakinger","/sitecore/content/capco/capco/Home/people/elisabeth-plakinger","PersonPage","Default","primary","Approved","PersonProfile","Insights + events embedded in PersonProfile (T+1, energy, weather)."
"/people/charlotte-byrne","/sitecore/content/capco/capco/Home/people/charlotte-byrne","PersonPage","Default","primary","Approved","PersonProfile","Payments / AI insights + fraud event"
"/people/anne-marie-rowland","/sitecore/content/capco/capco/Home/people/anne-marie-rowland","PersonPage","Default","primary","Approved","PersonProfile","CEO — profile pattern only"
"/people/marina-costa","/sitecore/content/capco/capco/Home/people/marina-costa","PersonPage","Default","primary","Approved","PersonProfile","Brazil — Meet our people"
"/events","/sitecore/content/capco/capco/Home/events","App Route","Default","primary","Approved","PageHeading; EventListing","PageTrail hidden. Cards from events-catalog.ts"
"/events/agentic-ai-energy-trading-briefing","/sitecore/content/capco/capco/Home/events/agentic-ai-energy-trading-briefing","App Route","Default","hidden","Approved","EventDetail","Speaker Elisabeth. Breadcrumb transparent; speakers list-none."
"/events/t-plus-1-europe-readiness","/sitecore/content/capco/capco/Home/events/t-plus-1-europe-readiness","App Route","Default","hidden","Approved","EventDetail","Speakers Elisabeth + Charlotte"
"/events/payments-fraud-controls","/sitecore/content/capco/capco/Home/events/payments-fraud-controls","App Route","Default","hidden","Approved","EventDetail","Speaker Charlotte"
"/ai","/sitecore/content/capco/capco/Home/ai","App Route","Default","primary","Approved","CampaignLanding; StatBlock; ComparisonBlock; Subscribe","AI Infused campaign"
"/ai/payments","/sitecore/content/capco/capco/Home/ai/payments","App Route","Default","hidden","Approved","CampaignLanding Payments","Datasource Campaign Landings/Payments is Awaiting Approval"
"/ai/energy","/sitecore/content/capco/capco/Home/ai/energy","App Route","Default","hidden","Approved","CampaignLanding Energy",""
"/contact","/sitecore/content/capco/capco/Home/contact","App Route","Default","primary","Approved","EnquiryForm","HubSpot form id + journey"
"/preferences","/sitecore/content/capco/capco/Home/preferences","App Route","Default","hidden","Approved","PreferenceCentre","Industry / topic / region"
"/careers","/sitecore/content/capco/capco/Home/careers","App Route","Default","primary","Approved","PageHeading; JobListing","Join Us"
"/search","/sitecore/content/capco/capco/Home/search","App Route","Default","hidden","Approved","SiteSearch","?q= + facets. Header overlay is src/lib/HeaderSearch.tsx"
"/capco-institute","/sitecore/content/capco/capco/Home/capco-institute","App Route","Default","hidden","Approved","PublicationCard","Journal parent"
"/capco-institute/journal-62","/sitecore/content/capco/capco/Home/capco-institute/journal-62","App Route","Default","hidden","Approved","PublicationCard","Journal #62 HTML"
"/story","/sitecore/content/capco/capco/Home/story","App Route","Default","hidden","Approved","StoryBoard","Presenter URL — 19 beats. Not a product page."
"/what-we-heard","/sitecore/content/capco/capco/Home/what-we-heard","App Route","Default","hidden","Approved","StoryHeard","Personas Thomas Emma Priya Vince David — story-only"
